Date,SequenceNumber,PacketNumber,NodeId,SrcNodeId,LqiValue,RssiValues
1164977013671,0,7,7,3,-47,217
1164977021921,0,7,8,9,-47,200
1164977021921,0,7,8,4,-42,219
1164977024984,0,6,18,19,-48,203
1164977029671,0,6,19,18,-46,226
1164977030187,0,7,9,6,-44,217
1164977030187,0,7,9,8,-46,215
1164977035984,0,7,10,14,-46,225
1164977035984,0,7,10,11,-39,232
1164977039734,0,7,11,12,-49,196
1164977039734,0,7,11,10,-45,228
1164977040703,1,7,11,15,-50,200
1164977045375,0,7,14,10,-48,211
1164977049218,0,7,15,11,-45,199
1164977049859,0,7,12,13,-47,224
1164977051484,0,8,3,7,-44,204
1164977053328,0,7,16,17,-44,228
1164977053328,0,7,16,13,-46,221
1164977055281,0,7,13,16,-47,218
1164977055281,0,7,13,12,-45,227
1164977058031,0,7,17,16,-44,228
1164977064640,0,8,4,8,-46,227
1164977064640,0,8,4,5,-50,184
1164977068921,0,8,6,9,-46,209
1164977068921,0,8,6,7,-42,226
1164977073671,0,8,7,6,-44,219
1164977073671,0,8,7,3,-47,207
1164977081921,0,8,8,9,-46,205
1164977081921,0,8,8,4,-42,213
1164977085000,0,7,18,19,-48,209
1164977089671,0,7,19,18,-46,223
1164977090203,0,8,9,6,-44,219
1164977090203,0,8,9,8,-46,220
1164977095984,0,8,10,14,-46,225
1164977095984,0,8,10,11,-40,231
1164977099703,0,8,11,12,-49,188
1164977099703,0,8,11,10,-45,229
1164977105390,0,8,14,10,-48,215
1164977109859,0,8,12,13,-47,216
1164977111484,0,9,3,7,-46,218
1164977113328,0,8,16,17,-43,229
1164977113328,0,8,16,13,-47,225
1164977115296,0,8,13,16,-45,219
1164977115296,0,8,13,12,-45,225
1164977118031,0,8,17,16,-44,227
1164977124640,0,9,4,8,-45,231
1164977128921,0,9,6,9,-47,203
1164977128921,0,9,6,7,-42,217
1164977133687,0,9,7,6,-44,222
1164977133687,0,9,7,3,-47,215
