Date,RSSI
1,-1
2,-33
3,-33
4,-1
5,-33
6,-34
7,-33
8,-33
9,-34
10,-34
11,-33
12,-33
13,-34
14,-33
15,-33
16,-1
17,-1
18,-1
19,-33
20,-1
21,-34
22,-34
23,-33
24,-33
25,-33
26,-1
27,-34
28,-34
29,-33
30,-33
31,-33
32,-33
33,-33
34,-1
35,-34
36,-33
37,-34
38,-34
39,-34
40,-33
41,-1
42,-1
43,-1
44,-34
45,-34
46,-33
47,-34
48,-33
49,-34
50,-1
51,-1
52,-34
53,-33
54,-33
55,-34
56,-1
57,-33
58,-34
59,-33
60,-34
61,-34
62,-33
63,-33
64,-33
65,-33
66,-1
67,-34
68,-1
69,-33
70,-33
71,-34
72,-34
73,-34
74,-34
75,-1
76,-34
77,-33
78,-34
79,-33
80,-34
81,-1
82,-33
83,-34
84,-34
85,-34
86,-33
87,-33
88,-34
89,-34
90,-33
91,-34
92,-33
93,-33
94,-34
95,-34
96,-33
97,-33
98,-1
99,-1
100,-33
101,-33
102,-33
103,-34
104,-34
105,-33
106,-1
107,-34
108,-33
109,-33
110,-34
111,-33
112,-34
113,-33
114,-34
115,-33
116,-33
117,-34
118,-34
119,-34
120,-33
121,-34
122,-1
123,-33
124,-34
125,-33
126,-33
127,-33
128,-1
129,-33
130,-33
131,-34
132,-33
133,-34
134,-33
135,-33
136,-33
137,-34
138,-33
139,-33
140,-33
141,-33
142,-34
143,-33
144,-33
145,-34
146,-33
147,-34
148,-33
149,-33
150,-33
151,-1
152,-34
153,-1
154,-1
155,-33
156,-33
157,-33
158,-33
159,-34
160,-34
161,-33
162,-33
163,-34
164,-34
165,-33
166,-34
167,-34
168,-34
169,-33
170,-33
171,-34
172,-33
173,-33
174,-33
175,-33
176,-33
177,-34
178,-33
179,-33
180,-33
181,-33
182,-33
183,-34
184,-32
185,-34
186,-33
187,-33
188,-33
189,-33
190,-33
191,-33
192,-33
193,-33
194,-33
195,-33
196,-33
197,-33
198,-33
199,-33
200,-33
201,-33
202,-33
203,-33
204,-33
205,-33
206,-33
207,-33
208,-33
209,-33
210,-34
211,-33
212,-33
213,-34
214,-34
215,-33
216,-34
217,-33
218,-34
219,-34
220,-33
221,-33
222,-34
223,-33
224,-34
225,-34
226,-33
227,-34
228,-33
229,-33
230,-33
231,-33
232,-34
233,-33
234,-33
235,-33
236,-34
237,-33
238,-33
239,-33
240,-33
241,-33
242,-34
243,-33
244,-33
245,-34
246,-33
247,-34
248,-33
249,-34
250,-33
251,-33
252,-33
253,-34
254,-33
255,-33
256,-33
257,-34
258,-33
259,-33
260,-33
