Date,RSSI
1,-43
2,-35
3,-35
4,-35
5,-37
6,-33
7,-32
8,-31
9,-31
10,-31
11,-31
12,-31
13,-31
14,-31
15,-31
16,-31
17,-31
18,-31
19,-32
20,-36
21,-31
22,-31
23,-31
24,-1
25,-31
26,-1
27,-31
28,-31
29,-31
30,-1
31,-31
32,-31
33,-31
34,-31
35,-31
36,-31
37,-31
38,-31
39,-32
40,-1
41,-32
42,-32
43,-32
44,-1
45,-31
46,-32
47,-31
48,-31
49,-31
50,-32
51,-32
52,-31
53,-32
54,-31
55,-32
56,-1
57,-32
58,-32
59,-31
60,-31
61,-31
62,-32
63,-31
64,-31
65,-31
66,-32
67,-32
68,-32
69,-32
70,-32
71,-32
72,-32
73,-31
74,-31
75,-31
76,-32
77,-30
78,-32
79,-31
80,-32
81,-31
82,-1
83,-32
84,-31
85,-31
86,-31
87,-31
88,-31
89,-32
90,-31
91,-31
92,-32
93,-32
94,-31
95,-32
96,-31
97,-31
98,-31
99,-32
100,-1
101,-31
102,-32
103,-31
104,-31
105,-32
106,-31
107,-31
108,-31
109,-1
110,-31
111,-31
112,-32
113,-31
114,-31
115,-31
116,-31
117,-31
118,-1
119,-31
120,-45
121,-31
122,-32
123,-31
124,-31
125,-32
126,-32
127,-32
128,-31
129,-32
130,-31
131,-31
132,-31
133,-32
134,-32
135,-1
136,-32
137,-1
138,-32
139,-31
140,-31
141,-31
142,-31
143,-32
144,-31
145,-32
146,-32
147,-32
148,-32
149,-31
150,-32
151,-31
152,-31
153,-32
154,-32
155,-32
156,-33
157,-32
158,-33
159,-32
160,-32
161,-32
162,-32
163,-31
164,-1
165,-32
166,-32
167,-1
168,-32
169,-32
170,-32
171,-32
172,-31
173,-32
174,-31
175,-31
176,-32
177,-35
178,-33
179,-31
180,-31
181,-32
182,-32
183,-31
184,-32
185,-32
186,-32
187,-32
188,-32
189,-33
190,-32
191,-31
192,-31
193,-32
194,-32
195,-32
196,-32
197,-32
198,-32
199,-32
200,-32
201,-31
202,-31
203,-31
204,-32
205,-32
206,-31
207,-32
208,-32
209,-32
210,-32
211,-32
212,-32
213,-32
214,-32
215,-32
216,-32
217,-32
218,-32
219,-32
220,-32
221,-32
222,-35
223,-35
224,-35
225,-34
226,-34
227,-34
228,-34
229,-35
230,-35
231,-34
232,-35
233,-35
234,-34
235,-34
236,-36
237,-34
238,-34
239,-35
240,-34
241,-34
242,-35
243,-34
244,-34
245,-34
246,-35
247,-34
248,-34
249,-33
250,-32
251,-33
252,-33
253,-32
254,-34
255,-33
256,-33
257,-33
258,-33
259,-33
260,-33
261,-34
262,-33
263,-1
264,-33
265,-33
266,-33
267,-33
268,-34
269,-33
270,-34
271,-34
272,-33
273,-33
274,-34
275,-34
276,-33
277,-33
278,-33
279,-33
280,-33
281,-33
282,-33
283,-33
284,-33
285,-33
286,-33
287,-33
288,-33
289,-33
290,-33
291,-33
292,-34
293,-33
294,-33
295,-33
296,-33
297,-33
298,-33
299,-33
300,-33
301,-34
302,-34
303,-33
304,-33
305,-33
306,-1
307,-33
308,-33
309,-33
310,-33
311,-33
312,-33
313,-33
314,-33
315,-33
316,-33
317,-33
318,-33
319,-34
320,-33
321,-33
322,-34
323,-33
324,-34
325,-34
326,-33
327,-33
328,-33
329,-34
330,-34
331,-34
332,-35
333,-34
334,-33
335,-34
336,-33
337,-34
338,-34
339,-34
340,-33
341,-33
342,-34
343,-34
344,-34
345,-33
346,-33
347,-33
348,-33
349,-34
350,-33
351,-34
352,-33
353,-34
354,-34
355,-33
356,-42
357,-33
358,-31
359,-32
360,-31
361,-32
362,-32
363,-32
364,-32
365,-32
366,-31
367,-32
368,-32
369,-32
370,-32
371,-32
372,-32
373,-31
374,-31
375,-32
376,-32
377,-32
378,-32
379,-32
380,-31
381,-32
382,-33
383,-32
384,-32
385,-32
386,-32
387,-32
388,-32
389,-32
390,-35
391,-32
392,-31
393,-31
394,-32
395,-32
396,-31
397,-31
398,-32
399,-32
400,-32
401,-32
402,-34
403,-32
404,-32
405,-31
406,-32
407,-31
408,-32
409,-32
410,-32
411,-33
412,-32
413,-32
414,-32
415,-32
416,-32
417,-33
418,-32
419,-32
420,-32
421,-34
422,-36
423,-32
424,-32
425,-32
426,-32
427,-32
428,-32
429,-33
430,-31
431,-33
432,-32
433,-31
434,-32
435,-32
436,-32
437,-32
438,-32
439,-32
440,-32
441,-32
442,-32
443,-32
444,-32
445,-31
446,-31
447,-32
448,-32
449,-32
450,-32
451,-32
452,-32
453,-32
454,-32
455,-32
456,-32
457,-32
458,-32
459,-33
460,-32
461,-31
462,-32
463,-32
464,-32
465,-32
466,-32
467,-32
468,-32
469,-32
470,-32
471,-32
472,-32
473,-32
474,-32
475,-32
476,-32
477,-32
478,-32
479,-32
480,-32
481,-32
482,-32
483,-32
484,-32
485,-32
486,-32
487,-32
488,-32
489,-32
490,-31
491,-32
492,-32
493,-31
494,-32
495,-32
496,-32
497,-32
498,-32
499,-32
500,-34
501,-32
502,-32
503,-32
504,-32
505,-32
506,-1
507,-32
508,-32
509,-32
510,-32
511,-33
512,-32
513,-32
514,-31
515,-32
516,-32
517,-32
518,-31
519,-32
520,-32
521,-32
522,-32
