Date,RSSI
1,-45
2,-1
3,-1
4,-1
5,-37
6,-36
7,-37
8,-37
9,-1
10,-37
11,-37
12,-37
13,-37
14,-36
15,-36
16,-37
17,-37
18,-36
19,-36
20,-37
21,-37
22,-37
23,-37
24,-37
25,-37
26,-1
27,-37
28,-1
29,-37
30,-36
31,-1
32,-37
33,-36
34,-37
35,-37
36,-36
37,-37
38,-37
39,-37
40,-36
41,-37
42,-37
43,-37
44,-37
45,-37
46,-37
47,-36
48,-37
49,-1
50,-37
51,-36
52,-36
53,-37
54,-37
55,-37
56,-36
57,-37
58,-36
59,-37
60,-37
61,-37
62,-36
63,-37
64,-37
65,-37
66,-38
67,-37
68,-37
69,-37
70,-37
71,-37
72,-37
73,-37
74,-37
75,-1
76,-37
77,-37
78,-37
79,-37
80,-37
81,-37
82,-37
83,-37
84,-37
85,-37
86,-37
87,-37
88,-37
89,-37
90,-37
91,-37
92,-37
93,-36
94,-37
95,-37
96,-37
97,-37
98,-37
99,-36
100,-37
101,-37
102,-36
103,-36
104,-37
105,-1
106,-37
107,-36
108,-37
109,-37
110,-37
111,-37
112,-37
113,-37
114,-37
115,-37
116,-37
117,-37
118,-37
119,-37
120,-37
121,-37
122,-37
123,-37
124,-37
125,-37
126,-37
127,-37
128,-37
129,-37
130,-37
131,-37
132,-37
133,-37
134,-37
135,-37
136,-37
137,-37
138,-1
139,-37
140,-37
141,-37
142,-37
143,-37
144,-37
145,-37
146,-37
147,-37
148,-37
149,-37
150,-37
151,-37
152,-37
153,-36
154,-37
155,-37
156,-37
157,-37
158,-37
159,-37
160,-37
161,-37
162,-37
163,-37
164,-37
165,-37
166,-37
167,-37
168,-37
169,-37
170,-37
171,-37
172,-36
173,-37
174,-37
175,-1
176,-37
177,-37
178,-37
179,-37
180,-37
181,-37
182,-37
183,-37
184,-37
185,-37
186,-37
187,-37
188,-37
189,-37
190,-37
191,-37
192,-37
193,-37
194,-37
195,-37
196,-37
197,-37
198,-37
199,-37
200,-37
201,-1
202,-36
203,-37
204,-37
205,-37
206,-36
207,-37
208,-37
209,-1
210,-37
211,-36
212,-37
213,-37
214,-37
215,-37
216,-37
217,-1
218,-37
219,-37
220,-37
221,-37
222,-37
223,-37
224,-36
225,-37
226,-37
227,-37
228,-37
229,-37
230,-37
231,-37
232,-37
233,-36
234,-37
235,-37
236,-37
237,-37
238,-37
239,-37
240,-37
241,-37
242,-37
243,-36
244,-37
245,-37
246,-36
247,-37
248,-37
