Date,RSSI
1,-1
2,-44
3,-41
4,-34
5,-36
6,-37
7,-1
8,-36
9,-36
10,-36
11,-37
12,-36
13,-36
14,-36
15,-37
16,-37
17,-1
18,-37
19,-36
20,-36
21,-36
22,-36
23,-37
24,-36
25,-36
26,-36
27,-36
28,-37
29,-36
30,-37
31,-36
32,-36
33,-36
34,-37
35,-36
36,-36
37,-36
38,-37
39,-37
40,-36
41,-36
42,-36
43,-36
44,-36
45,-37
46,-36
47,-36
48,-37
49,-36
50,-37
51,-36
52,-37
53,-36
54,-37
55,-37
56,-36
57,-37
58,-36
59,-37
60,-36
61,-36
62,-37
63,-36
64,-37
65,-36
66,-36
67,-36
68,-37
69,-36
70,-36
71,-36
72,-36
73,-37
74,-37
75,-37
76,-36
77,-37
78,-36
79,-36
80,-37
81,-37
82,-36
83,-36
84,-36
85,-37
86,-38
87,-37
88,-37
89,-37
90,-36
91,-37
92,-36
93,-36
94,-37
95,-36
96,-37
97,-36
98,-37
99,-37
100,-37
101,-36
102,-36
103,-37
104,-36
105,-37
106,-37
107,-37
108,-36
109,-36
110,-1
111,-37
112,-37
113,-36
114,-37
115,-36
116,-36
117,-36
118,-37
119,-36
120,-36
121,-37
122,-37
123,-37
124,-37
125,-36
126,-37
127,-36
128,-37
129,-37
130,-37
131,-37
132,-37
133,-37
134,-37
135,-37
136,-36
137,-36
138,-37
139,-36
140,-36
141,-37
142,-36
143,-37
144,-36
145,-36
146,-36
147,-36
148,-36
149,-36
150,-37
151,-36
152,-37
153,-36
154,-37
155,-37
156,-36
157,-36
158,-36
159,-36
160,-37
161,-37
162,-37
163,-37
164,-37
165,-36
166,-37
167,-37
168,-37
169,-1
170,-36
171,-37
172,-41
173,-42
174,-37
175,-39
176,-39
177,-35
178,-40
179,-41
180,-35
181,-35
182,-35
183,-35
184,-35
185,-35
186,-35
187,-35
188,-35
189,-35
190,-35
191,-35
192,-35
193,-35
194,-35
195,-35
196,-35
197,-35
198,-35
199,-35
200,-35
201,-36
202,-35
203,-35
204,-35
205,-35
206,-35
207,-35
208,-35
209,-35
210,-35
211,-35
212,-35
213,-35
214,-35
215,-35
216,-35
217,-1
218,-35
219,-35
220,-35
221,-35
222,-35
223,-35
224,-35
225,-35
226,-35
227,-35
228,-35
229,-35
230,-35
231,-35
232,-35
233,-35
234,-35
235,-35
236,-35
237,-35
238,-35
239,-35
240,-35
241,-35
242,-35
243,-35
244,-35
245,-35
246,-36
247,-35
248,-35
249,-35
250,-35
251,-35
252,-35
253,-35
254,-35
255,-35
256,-35
257,-35
258,-35
259,-35
260,-35
261,-35
262,-35
263,-35
264,-35
265,-35
266,-35
267,-35
268,-35
269,-35
270,-35
271,-35
272,-35
273,-35
274,-35
275,-35
276,-35
277,-35
278,-35
279,-35
280,-35
281,-35
282,-35
283,-35
284,-35
285,-35
286,-35
287,-35
288,-35
289,-35
290,-35
291,-35
292,-35
293,-35
294,-35
295,-35
296,-35
297,-35
298,-35
299,-35
300,-35
301,-35
302,-35
303,-35
304,-35
305,-35
306,-35
307,-35
308,-35
309,-35
310,-35
311,-35
312,-35
313,-35
314,-35
315,-35
316,-35
317,-35
318,-35
319,-35
320,-35
321,-35
322,-35
323,-35
324,-35
325,-35
326,-35
327,-35
328,-35
329,-35
330,-35
331,-35
332,-35
333,-35
334,-35
335,-35
336,-36
337,-35
338,-35
339,-35
340,-36
341,-35
342,-35
343,-35
344,-35
345,-35
346,-35
347,-35
348,-35
349,-35
350,-35
351,-35
352,-35
353,-35
354,-35
355,-35
356,-35
357,-35
358,-35
359,-36
360,-35
361,-35
362,-35
363,-35
364,-35
365,-35
366,-35
367,-35
368,-35
369,-35
370,-35
371,-36
372,-35
373,-35
374,-35
375,-35
376,-35
377,-36
378,-35
379,-35
380,-35
381,-35
382,-35
383,-1
384,-35
385,-35
386,-35
387,-35
388,-36
389,-35
390,-35
391,-35
392,-35
393,-35
394,-35
395,-35
396,-35
397,-35
398,-35
399,-35
400,-35
401,-35
402,-35
403,-35
404,-35
405,-35
406,-35
407,-35
408,-35
409,-35
410,-35
411,-35
412,-35
413,-35
414,-35
415,-35
416,-35
417,-36
418,-35
419,-35
420,-35
421,-35
422,-35
423,-35
424,-35
425,-36
426,-35
427,-35
428,-35
429,-35
430,-35
431,-36
432,-35
433,-35
434,-35
435,-35
436,-35
437,-35
438,-35
439,-35
440,-35
441,-35
442,-35
443,-35
444,-35
445,-35
446,-35
447,-35
448,-35
449,-35
450,-35
451,-35
452,-35
453,-36
454,-35
455,-35
456,-35
457,-35
458,-36
459,-35
460,-35
461,-35
462,-35
463,-35
464,-35
465,-35
466,-35
467,-35
468,-35
469,-35
470,-35
471,-35
472,-35
473,-35
474,-35
475,-35
476,-35
477,-35
478,-35
479,-35
480,-35
481,-35
482,-35
483,-35
484,-35
485,-35
486,-35
487,-35
488,-35
489,-35
490,-35
491,-35
492,-35
493,-35
494,-35
495,-35
496,-35
497,-35
498,-35
499,-35
500,-35
501,-35
502,-35
503,-35
504,-35
